Fuente,Nombre,Links,Comments,Like,ReTweets,Reply
Twitter,prensaplus,2,0,0,0,0
Twitter,ultimoscambios,2,0,0,0,0
Twitter,Havana_Casino,2,0,0,0,0
Twitter,tinamodotti71,2,0,0,0,0
Twitter,Shoppidea,1,0,0,0,0
Twitter,videonotas,2,0,0,0,0
Twitter,yohalysyarisa,1,0,0,0,0
Twitter,julian_ortegam_,1,0,0,0,0
Twitter,javierdecuba,2,0,0,0,0
Twitter,MunirLoko,1,0,0,0,0
Twitter,Bankai34,2,0,0,0,0
Twitter,daliahabanera,2,0,0,0,0
Twitter,EducaRedAR,2,0,0,0,0
Twitter,vicosopolo,1,0,0,0,0
Twitter,nextartcomunica,2,0,0,0,0
www.canal2bellville.com.ar,www.canal2bellville.com.ar,1,0,0,0,0
www.ole.com.ar,www.ole.com.ar,3,0,0,0,0
www.ole.com.ar,www.ole.com.ar,3,0,0,0,0
www.ole.com.ar,www.ole.com.ar,3,0,0,0,0
Facebook,Ignacio Naxoko Rojas Bravo,1,1,0,0,0
Twitter,canal4jujuy,2,0,0,0,0
Facebook,Rosario Central,1,1,1,0,0
Twitter,lavozdejujuy,2,0,0,0,0
www.ellitoral.com,www.ellitoral.com,3,0,0,0,0
Twitter,lavozdejujuy,2,0,0,0,0
Twitter,tribunojujuy,2,0,0,0,0
Twitter,lavozdejujuy,2,0,0,0,0
Twitter,lavozdejujuy,1,0,0,0,0
Facebook,Juan Patricio Mussi,3,1,1,0,0
Twitter,lavozdejujuy,2,0,0,0,0
Facebook,TN - Todo Noticias,3,1,1,0,0
Twitter,lavozdejujuy,2,0,0,0,0
Twitter,misionesonline,2,0,0,0,0
Twitter,misionesonline,2,0,0,0,0
Twitter,canal4jujuy,2,0,0,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
Facebook,Diario La Capital - Rosario,2,1,1,0,0
Twitter,lavozdejujuy,2,0,0,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
Facebook,Pablo Bruera,3,1,1,0,0
Facebook,Sarmiento de Junin,2,1,1,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
Facebook,Vanesa Parrado,3,1,1,0,0
Facebook,el ojo que todo lo ve madryn,3,1,1,0,0
Twitter,NuevoDiarioWeb,2,0,0,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
Facebook,Adrian Brito,1,1,0,0,0
Twitter,LuckLupin,1,0,0,1,1
Twitter,985OrfeoFM,1,0,0,1,1
Twitter,Aleviland,2,0,0,1,1
Twitter,AMADORRIVERA,1,0,0,1,1
Twitter,MaidenManhatan,2,0,0,1,1
Twitter,cambioturismo,2,0,0,1,1
Twitter,Agust1n8,2,0,0,1,1
Twitter,silviacascella,2,0,0,1,1
Twitter,mariellborges,2,0,0,1,1
Twitter,pasaencordoba,1,0,0,1,1
Twitter,turismocba,2,0,0,1,1
Twitter,luichoroman,2,0,0,1,1
Twitter,frankling_85,1,0,0,1,1
Twitter,auberneiijunior,1,0,0,1,1
Twitter,RadioNickBrasil,2,0,0,1,1
Twitter,canal4jujuy,2,0,0,0,0
Facebook,Diario La Capital - Rosario,2,1,1,0,0
www.larazon.com.ar,www.larazon.com.ar,3,0,0,0,0
www.lmcordoba.com.ar,www.lmcordoba.com.ar,3,0,0,0,0
servicios.lanacion.com.ar,servicios.lanacion.com.ar,2,0,0,0,0
servicios.lanacion.com.ar,servicios.lanacion.com.ar,2,0,0,0,0
servicios.lanacion.com.ar,servicios.lanacion.com.ar,2,0,0,0,0
